algorithm,data_type,array_size,avg_time_us,avg_char_comparisons
standard_quicksort,reverse_sorted,1900,192.50,233465.00
standard_mergesort,reverse_sorted,1900,631.70,16723.00
ternary_string_quicksort,reverse_sorted,1900,65.70,27934.00
lcp_mergesort,reverse_sorted,1900,901.80,7337.00
msd_radix_sort,reverse_sorted,1900,627.60,4609.00
msd_radix_sort_with_quicksort,reverse_sorted,1900,171.80,14783.00
standard_quicksort,reverse_sorted,2000,194.50,235833.00
standard_mergesort,reverse_sorted,2000,662.80,17348.00
ternary_string_quicksort,reverse_sorted,2000,67.50,29292.00
lcp_mergesort,reverse_sorted,2000,915.30,7612.00
msd_radix_sort,reverse_sorted,2000,664.30,4849.00
msd_radix_sort_with_quicksort,reverse_sorted,2000,177.90,15566.00
standard_quicksort,reverse_sorted,2100,209.60,255244.00
standard_mergesort,reverse_sorted,2100,705.50,18449.00
ternary_string_quicksort,reverse_sorted,2100,71.70,31301.00
lcp_mergesort,reverse_sorted,2100,1005.30,8060.00
msd_radix_sort,reverse_sorted,2100,695.40,5093.00
msd_radix_sort_with_quicksort,reverse_sorted,2100,192.50,16364.00
standard_quicksort,reverse_sorted,2200,224.80,273428.00
standard_mergesort,reverse_sorted,2200,750.60,19756.00
ternary_string_quicksort,reverse_sorted,2200,75.70,32912.00
lcp_mergesort,reverse_sorted,2200,1070.80,8612.00
msd_radix_sort,reverse_sorted,2200,728.00,5337.00
msd_radix_sort_with_quicksort,reverse_sorted,2200,193.40,17196.00
standard_quicksort,reverse_sorted,2300,237.60,301549.00
standard_mergesort,reverse_sorted,2300,780.70,20890.00
ternary_string_quicksort,reverse_sorted,2300,82.60,34486.00
lcp_mergesort,reverse_sorted,2300,1145.90,9073.00
msd_radix_sort,reverse_sorted,2300,762.80,5572.00
msd_radix_sort_with_quicksort,reverse_sorted,2300,201.60,17945.00
standard_quicksort,reverse_sorted,2400,255.90,318333.00
standard_mergesort,reverse_sorted,2400,817.20,22052.00
ternary_string_quicksort,reverse_sorted,2400,87.40,36194.00
lcp_mergesort,reverse_sorted,2400,1194.00,9492.00
msd_radix_sort,reverse_sorted,2400,790.20,5813.00
