algorithm,data_type,array_size,run_id,time_us,char_comparisons
standard_quicksort,random,2500,4,461,393522
standard_quicksort,random,2500,5,515,393522
standard_quicksort,random,2500,6,484,393522
standard_quicksort,random,2500,7,455,393522
standard_quicksort,random,2500,8,465,393522
standard_quicksort,random,2500,9,470,393522
standard_quicksort,random,2500,10,457,393522
standard_quicksort,random,2600,1,495,399361
standard_quicksort,random,2600,2,490,399361
standard_quicksort,random,2600,3,477,399361
standard_quicksort,random,2600,4,487,399361
standard_quicksort,random,2600,5,463,399361
standard_quicksort,random,2600,6,478,399361
standard_quicksort,random,2600,7,478,399361
standard_quicksort,random,2600,8,467,399361
standard_quicksort,random,2600,9,466,399361
standard_quicksort,random,2600,10,459,399361
standard_quicksort,random,2700,1,505,423394
standard_quicksort,random,2700,2,530,423394
standard_quicksort,random,2700,3,555,423394
standard_quicksort,random,2700,4,505,423394
standard_quicksort,random,2700,5,518,423394
standard_quicksort,random,2700,6,504,423394
standard_quicksort,random,2700,7,499,423394
standard_quicksort,random,2700,8,535,423394
standard_quicksort,random,2700,9,499,423394
standard_quicksort,random,2700,10,517,423394
standard_quicksort,random,2800,1,562,442342
standard_quicksort,random,2800,2,541,442342
standard_quicksort,random,2800,3,521,442342
standard_quicksort,random,2800,4,536,442342
standard_quicksort,random,2800,5,539,442342
standard_quicksort,random,2800,6,522,442342
standard_quicksort,random,2800,7,535,442342
standard_quicksort,random,2800,8,522,442342
standard_quicksort,random,2800,9,522,442342
standard_quicksort,random,2800,10,544,442342
standard_quicksort,random,2900,1,586,457728
standard_quicksort,random,2900,2,550,457728
standard_quicksort,random,2900,3,548,457728
standard_quicksort,random,2900,4,581,457728
standard_quicksort,random,2900,5,549,457728
standard_quicksort,random,2900,6,554,457728
standard_quicksort,random,2900,7,567,457728
standard_quicksort,random,2900,8,561,457728
standard_quicksort,random,2900,9,547,457728
standard_quicksort,random,2900,10,555,457728
standard_quicksort,random,3000,1,590,470721
standard_quicksort,random,3000,2,578,470721
standard_quicksort,random,3000,3,555,470721
standard_quicksort,random,3000,4,563,470721
standard_quicksort,random,3000,5,609,470721
standard_quicksort,random,3000,6,568,470721
standard_quicksort,random,3000,7,561,470721
standard_quicksort,random,3000,8,593,470721
standard_quicksort,random,3000,9,574,470721
standard_quicksort,random,3000,10,563,470721
standard_quicksort,reverse_sorted,100,1,11,14359
standard_quicksort,reverse_sorted,100,2,11,14359
standard_quicksort,reverse_sorted,100,3,11,14359
standard_quicksort,reverse_sorted,100,4,10,14359
standard_quicksort,reverse_sorted,100,5,10,14359
standard_quicksort,reverse_sorted,100,6,10,14359
standard_quicksort,reverse_sorted,100,7,9,14359
standard_quicksort,reverse_sorted,100,8,10,14359
standard_quicksort,reverse_sorted,100,9,10,14359
standard_quicksort,reverse_sorted,100,10,10,14359
standard_quicksort,reverse_sorted,200,1,21,28548
standard_quicksort,reverse_sorted,200,2,21,28548
standard_quicksort,reverse_sorted,200,3,20,28548
standard_quicksort,reverse_sorted,200,4,20,28548
standard_quicksort,reverse_sorted,200,5,18,28548
standard_quicksort,reverse_sorted,200,6,20,28548
standard_quicksort,reverse_sorted,200,7,20,28548
standard_quicksort,reverse_sorted,200,8,18,28548
standard_quicksort,reverse_sorted,200,9,20,28548
standard_quicksort,reverse_sorted,200,10,20,28548
standard_quicksort,reverse_sorted,300,1,32,39655
standard_quicksort,reverse_sorted,300,2,37,39655
standard_quicksort,reverse_sorted,300,3,36,39655
standard_quicksort,reverse_sorted,300,4,28,39655
standard_quicksort,reverse_sorted,300,5,27,39655
standard_quicksort,reverse_sorted,300,6,27,39655
standard_quicksort,reverse_sorted,300,7,27,39655
standard_quicksort,reverse_sorted,300,8,28,39655
standard_quicksort,reverse_sorted,300,9,27,39655
standard_quicksort,reverse_sorted,300,10,37,39655
standard_quicksort,reverse_sorted,400,1,46,57538
standard_quicksort,reverse_sorted,400,2,46,57538
standard_quicksort,reverse_sorted,400,3,47,57538
standard_quicksort,reverse_sorted,400,4,41,57538
standard_quicksort,reverse_sorted,400,5,46,57538
standard_quicksort,reverse_sorted,400,6,45,57538
standard_quicksort,reverse_sorted,400,7,46,57538
standard_quicksort,reverse_sorted,400,8,46,57538
standard_quicksort,reverse_sorted,400,9,45,57538
standard_quicksort,reverse_sorted,400,10,45,57538
standard_quicksort,reverse_sorted,500,1,52,58794
standard_quicksort,reverse_sorted,500,2,51,58794
standard_quicksort,reverse_sorted,500,3,49,58794
standard_quicksort,reverse_sorted,500,4,48,58794
standard_quicksort,reverse_sorted,500,5,59,58794
standard_quicksort,reverse_sorted,500,6,43,58794
standard_quicksort,reverse_sorted,500,7,48,58794
standard_quicksort,reverse_sorted,500,8,47,58794
standard_quicksort,reverse_sorted,500,9,47,58794
standard_quicksort,reverse_sorted,500,10,47,58794
standard_quicksort,reverse_sorted,600,1,62,78650
standard_quicksort,reverse_sorted,600,2,61,78650
standard_quicksort,reverse_sorted,600,3,60,78650
standard_quicksort,reverse_sorted,600,4,60,78650
standard_quicksort,reverse_sorted,600,5,73,78650
standard_quicksort,reverse_sorted,600,6,58,78650
standard_quicksort,reverse_sorted,600,7,98,78650
standard_quicksort,reverse_sorted,600,8,62,78650
standard_quicksort,reverse_sorted,600,9,59,78650
standard_quicksort,reverse_sorted,600,10,64,78650
standard_quicksort,reverse_sorted,700,1,89,101847
standard_quicksort,reverse_sorted,700,2,77,101847
standard_quicksort,reverse_sorted,700,3,75,101847
standard_quicksort,reverse_sorted,700,4,75,101847
standard_quicksort,reverse_sorted,700,5,75,101847
standard_quicksort,reverse_sorted,700,6,91,101847
standard_quicksort,reverse_sorted,700,7,83,101847
standard_quicksort,reverse_sorted,700,8,74,101847
standard_quicksort,reverse_sorted,700,9,74,101847
standard_quicksort,reverse_sorted,700,10,75,101847
standard_quicksort,reverse_sorted,800,1,90,116560
standard_quicksort,reverse_sorted,800,2,93,116560
standard_quicksort,reverse_sorted,800,3,87,116560
standard_quicksort,reverse_sorted,800,4,104,116560
standard_quicksort,reverse_sorted,800,5,111,116560
standard_quicksort,reverse_sorted,800,6,105,116560
standard_quicksort,reverse_sorted,800,7,86,116560
standard_quicksort,reverse_sorted,800,8,91,116560
standard_quicksort,reverse_sorted,800,9,121,116560
standard_quicksort,reverse_sorted,800,10,127,116560
standard_quicksort,reverse_sorted,900,1,93,116960
standard_quicksort,reverse_sorted,900,2,90,116960
standard_quicksort,reverse_sorted,900,3,94,116960
standard_quicksort,reverse_sorted,900,4,98,116960
standard_quicksort,reverse_sorted,900,5,89,116960
standard_quicksort,reverse_sorted,900,6,97,116960
standard_quicksort,reverse_sorted,900,7,93,116960
standard_quicksort,reverse_sorted,900,8,92,116960
standard_quicksort,reverse_sorted,900,9,87,116960
standard_quicksort,reverse_sorted,900,10,96,116960
standard_quicksort,reverse_sorted,1000,1,94,117220
standard_quicksort,reverse_sorted,1000,2,91,117220
standard_quicksort,reverse_sorted,1000,3,92,117220
standard_quicksort,reverse_sorted,1000,4,100,117220
standard_quicksort,reverse_sorted,1000,5,90,117220
standard_quicksort,reverse_sorted,1000,6,89,117220
standard_quicksort,reverse_sorted,1000,7,93,117220
standard_quicksort,reverse_sorted,1000,8,89,117220
standard_quicksort,reverse_sorted,1000,9,97,117220
standard_quicksort,reverse_sorted,1000,10,97,117220
standard_quicksort,reverse_sorted,1100,1,129,136636
standard_quicksort,reverse_sorted,1100,2,105,136636
standard_quicksort,reverse_sorted,1100,3,104,136636
standard_quicksort,reverse_sorted,1100,4,172,136636
standard_quicksort,reverse_sorted,1100,5,147,136636
standard_quicksort,reverse_sorted,1100,6,127,136636
standard_quicksort,reverse_sorted,1100,7,113,136636
standard_quicksort,reverse_sorted,1100,8,112,136636
standard_quicksort,reverse_sorted,1100,9,112,136636
standard_quicksort,reverse_sorted,1100,10,117,136636
standard_quicksort,reverse_sorted,1200,1,135,158395
standard_quicksort,reverse_sorted,1200,2,134,158395
standard_quicksort,reverse_sorted,1200,3,122,158395
standard_quicksort,reverse_sorted,1200,4,136,158395
standard_quicksort,reverse_sorted,1200,5,121,158395
standard_quicksort,reverse_sorted,1200,6,123,158395
standard_quicksort,reverse_sorted,1200,7,135,158395
standard_quicksort,reverse_sorted,1200,8,123,158395
standard_quicksort,reverse_sorted,1200,9,119,158395
standard_quicksort,reverse_sorted,1200,10,125,158395
standard_quicksort,reverse_sorted,1300,1,185,180488
standard_quicksort,reverse_sorted,1300,2,148,180488
standard_quicksort,reverse_sorted,1300,3,137,180488
standard_quicksort,reverse_sorted,1300,4,142,180488
standard_quicksort,reverse_sorted,1300,5,146,180488
standard_quicksort,reverse_sorted,1300,6,154,180488
standard_quicksort,reverse_sorted,1300,7,137,180488
standard_quicksort,reverse_sorted,1300,8,137,180488
standard_quicksort,reverse_sorted,1300,9,137,180488
standard_quicksort,reverse_sorted,1300,10,137,180488
standard_quicksort,reverse_sorted,1400,1,170,205827
standard_quicksort,reverse_sorted,1400,2,159,205827
standard_quicksort,reverse_sorted,1400,3,162,205827
standard_quicksort,reverse_sorted,1400,4,163,205827
standard_quicksort,reverse_sorted,1400,5,188,205827
standard_quicksort,reverse_sorted,1400,6,162,205827
standard_quicksort,reverse_sorted,1400,7,154,205827
standard_quicksort,reverse_sorted,1400,8,156,205827
standard_quicksort,reverse_sorted,1400,9,156,205827
standard_quicksort,reverse_sorted,1400,10,165,205827
standard_quicksort,reverse_sorted,1500,1,176,229499
standard_quicksort,reverse_sorted,1500,2,182,229499
